"evseid","operatorname","num_occupied","num_tot","lat","lng","occupied_ratio"
"CH*E4U*E00192","Ost-mobil","2871","2871","47.4427613443606","9.41310525859006","1.00000000000000000000"
"CH*E4U*E00192","Ost-mobil","2871","2871","47.4427613443606","9.41310525859006","1.00000000000000000000"
"CH*E4U*E00192","Ost-mobil","2871","2871","47.4427613443606","9.41310525859006","1.00000000000000000000"
"CH*SWIEE2747","Swisscharge","18899","18899","47.2358090102472","8.07605200797185","1.00000000000000000000"
"CH*E4U*E00457","easy4you","2871","2871","47.2094419730342","7.53326297548266","1.00000000000000000000"
"CH*E4U*E00457","easy4you","2871","2871","47.2094419730342","7.53326297548266","1.00000000000000000000"
"CH*E4U*E00457","easy4you","2871","2871","47.2094419730342","7.53326297548266","1.00000000000000000000"
"CH*SWIEE2747","Swisscharge","18899","18899","47.2358090102472","8.07605200797185","1.00000000000000000000"
"CH*SWIEE2747","Swisscharge","18899","18899","47.2358090102472","8.07605200797185","1.00000000000000000000"
"CH*E4U*E00019","Ost-mobil","2871","2871","47.4601987187197","9.38848257980482","1.00000000000000000000"
"CH*SWIEE4536","Swisscharge","18198","18329","47.1303100101768","8.19745000812422","0.99285285612963063997"
"CH*SWIEE4536","Swisscharge","18198","18329","47.1303100101768","8.19745000812422","0.99285285612963063997"
"CH*SWIEE4536","Swisscharge","18198","18329","47.1303100101768","8.19745000812422","0.99285285612963063997"
"CH*CCI*EBA*8173*9","Move","15614","17343","47.0595610104732","6.9024510067797","0.90030559880066885775"
"CH*CCI*EBA*8173*9","Move","15614","17343","47.0595610104732","6.9024510067797","0.90030559880066885775"
"CH*CCI*EBA*8173*9","Move","15614","17343","47.0595610104732","6.9024510067797","0.90030559880066885775"
"CH*CCI*EBA*7345*0","Move","15906","17966","47.0769200103862","7.30549000721176","0.88533897361683179339"
"CH*CCI*EBA*7345*0","Move","15906","17966","47.0769200103862","7.30549000721176","0.88533897361683179339"
"CH*CCI*EBA*7345*0","Move","15906","17966","47.0769200103862","7.30549000721176","0.88533897361683179339"
"CH*CCI*EBA*7304*1","Move","14418","18372","47.1775730102139","8.12357100803634","0.78478118876551273677"
"CH*CCI*EBA*7304*1","Move","14418","18372","47.1775730102139","8.12357100803634","0.78478118876551273677"
"CH*CCI*EBA*7304*1","Move","14418","18372","47.1775730102139","8.12357100803634","0.78478118876551273677"
