"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*REPE087*01*1","PLUG’N ROLL","0101000020080800000AC7E6AE729B4441F7E152EA8D133341","1250189.91532719","2701029.36641777","57","18790","22",3,48,"0.00303352847259180415"
"CH*REPE087*01*1","PLUG’N ROLL","0101000020080800000AC7E6AE729B4441F7E152EA8D133341","1250189.91532719","2701029.36641777","57","18790","22",3,49,"0.00303352847259180415"
"CH*REPE087*01*1","PLUG’N ROLL","0101000020080800000AC7E6AE729B4441F7E152EA8D133341","1250189.91532719","2701029.36641777","57","18790","22",3,53,"0.00303352847259180415"
"CH*SWIEE11043","Swisscharge","0101000020080800000086166D67574441633CBD6BF37E3241","1212147.42085626","2666190.85224986","2212","18899","22",1,198,"0.11704322980051854595"
"CH*SWIEE11043","Swisscharge","0101000020080800000086166D67574441633CBD6BF37E3241","1212147.42085626","2666190.85224986","2212","18899","22",1,205,"0.11704322980051854595"
"CH*SWIEE11043","Swisscharge","0101000020080800000086166D67574441633CBD6BF37E3241","1212147.42085626","2666190.85224986","2212","18899","22",1,207,"0.11704322980051854595"
"CH*E4U*E00656","Ost-mobil","010100002008080000145B138C16FD4441EC9C022DA4803241","1212580.17582112","2751021.09434069","0","2871","22.08",7,4,"0.00000000000000000000"
"CH*E4U*E00656","Ost-mobil","010100002008080000145B138C16FD4441EC9C022DA4803241","1212580.17582112","2751021.09434069","0","2871","22.08",7,4,"0.00000000000000000000"
"CH*E4U*E00656","Ost-mobil","010100002008080000145B138C16FD4441EC9C022DA4803241","1212580.17582112","2751021.09434069","0","2871","22.08",7,4,"0.00000000000000000000"
"CH*CCI*E20184","Move","010100002008080000FB49CFD49FCB43413A1DEA00F8F93241","1243640.0035723","2594623.66257596","0","8938","22",5,3,"0.00000000000000000000"
"CH*CCI*E20184","Move","010100002008080000FB49CFD49FCB43413A1DEA00F8F93241","1243640.0035723","2594623.66257596","0","8938","22",5,3,"0.00000000000000000000"
"CH*CCI*E20184","Move","010100002008080000FB49CFD49FCB43413A1DEA00F8F93241","1243640.0035723","2594623.66257596","0","8938","22",5,3,"0.00000000000000000000"
"CH*CCI*E20177","Move","010100002008080000295845F185D44341B3728B1E134E3241","1199635.11931531","2599179.88492872","260","18378","11",1,38,"0.01414735009250190445"
"CH*CCI*E20177","Move","010100002008080000295845F185D44341B3728B1E134E3241","1199635.11931531","2599179.88492872","260","18378","11",1,29,"0.01414735009250190445"
"CH*CCI*E20177","Move","010100002008080000295845F185D44341B3728B1E134E3241","1199635.11931531","2599179.88492872","260","18378","11",1,35,"0.01414735009250190445"
"CH*REPE021*01*1","PLUG’N ROLL","010100002008080000152FCF7D265A4541AD6AF39198713141","1143192.57012049","2798668.98288525","3","18688","20",7,3,"0.00016053082191780822"
"CH*REPE021*01*1","PLUG’N ROLL","010100002008080000152FCF7D265A4541AD6AF39198713141","1143192.57012049","2798668.98288525","3","18688","20",7,3,"0.00016053082191780822"
"CH*REPE021*01*1","PLUG’N ROLL","010100002008080000152FCF7D265A4541AD6AF39198713141","1143192.57012049","2798668.98288525","3","18688","20",7,3,"0.00016053082191780822"
"CH*E4U*E00052","easy4you","010100002008080000213D31ED7B414541093647EDEE9C3141","1154286.92686784","2786039.85306515","0","2871","22.08",5,9,"0.00000000000000000000"
"CH*E4U*E00052","easy4you","010100002008080000213D31ED7B414541093647EDEE9C3141","1154286.92686784","2786039.85306515","0","2871","22.08",5,9,"0.00000000000000000000"
"CH*E4U*E00052","easy4you","010100002008080000213D31ED7B414541093647EDEE9C3141","1154286.92686784","2786039.85306515","0","2871","22.08",5,9,"0.00000000000000000000"
"CHEVPE2036","evpass","010100002008080000A729DC9AD6EE43412F18713FBB053241","1181115.24781943","2612653.20984383","62","18544","50.0",5,38,"0.00334339948231233822"
"CHEVPE2036","evpass","010100002008080000A729DC9AD6EE43412F18713FBB053241","1181115.24781943","2612653.20984383","62","18544","50.0",5,38,"0.00334339948231233822"
"CHEVPE2036","evpass","010100002008080000A729DC9AD6EE43412F18713FBB053241","1181115.24781943","2612653.20984383","62","18544","50.0",5,40,"0.00334339948231233822"
"CH*E4U*E00264","easy4you","010100002008080000F1A5E110167E444188CF165905FA3241","1243653.34800431","2685996.13188624","0","2871","22",3,5,"0.00000000000000000000"
"CH*E4U*E00264","easy4you","010100002008080000F1A5E110167E444188CF165905FA3241","1243653.34800431","2685996.13188624","0","2871","22",3,6,"0.00000000000000000000"
"CH*E4U*E00264","easy4you","010100002008080000F1A5E110167E444188CF165905FA3241","1243653.34800431","2685996.13188624","0","2871","22",3,5,"0.00000000000000000000"
"CH*CCI*E20066","Move","010100002008080000BABB31E964824341E9E6EF574D5E3241","1203789.34350436","2557129.82183024","0","14848","22",5,25,"0.000000000000000000000000"
