"evseid","operatorname","geom","lat","lng","power","municipal_typologie","population_hect","occupied_ratio"
"CH*REPE080*01*1","PLUG’N ROLL","0101000020080800008AA278CF5DAE444194E89D18075E3341","1269255.09615949","2710715.62086899","22.08",4,15,"0.01142917614688607863"
"CH*REPE080*01*1","PLUG’N ROLL","0101000020080800008AA278CF5DAE444194E89D18075E3341","1269255.09615949","2710715.62086899","22.08",4,14,"0.01142917614688607863"
"CH*CCC*E00508","Move","010100002008080000BEAAE4C712AB43412008DCF3F5173241","1185781.95257617","2577957.56166586","22",5,3,"0.00032238998441781742"
"CH*CCC*E00508","Move","010100002008080000BEAAE4C712AB43412008DCF3F5173241","1185781.95257617","2577957.56166586","22",5,3,"0.00032238998441781742"
"CH*SWIEE22175","Swisscharge","010100002008080000918A5522E5CD4341BD1F08EDC65F3241","1204166.92590521","2595786.26823551","22",3,18,"0.00444467961267791947"
"CH*SWIEE22175","Swisscharge","010100002008080000918A5522E5CD4341BD1F08EDC65F3241","1204166.92590521","2595786.26823551","22",3,19,"0.00444467961267791947"
"CH*SWIEE22175","Swisscharge","010100002008080000918A5522E5CD4341BD1F08EDC65F3241","1204166.92590521","2595786.26823551","22",3,19,"0.00444467961267791947"
"CH*SWIEE4752","Swisscharge","010100002008080000A1F6877454B84441E10C0817E4F83041","1112292.08996659","2715816.91039927","100",5,4,"0.01005344198105719879"
"CH*SWIEE4752","Swisscharge","010100002008080000A1F6877454B84441E10C0817E4F83041","1112292.08996659","2715816.91039927","100",5,4,"0.01005344198105719879"
"CH*SWIEE4752","Swisscharge","010100002008080000A1F6877454B84441E10C0817E4F83041","1112292.08996659","2715816.91039927","100",5,3,"0.01005344198105719879"
"CH*REPE112*01*2","PLUG’N ROLL","010100002008080000FA4DDE769EFF444196E3DF811DC13141","1163549.50732253","2752316.9286592","22.08",9,3,"0.12074712947775014551"
"CH*REPE112*01*2","PLUG’N ROLL","010100002008080000FA4DDE769EFF444196E3DF811DC13141","1163549.50732253","2752316.9286592","22.08",9,4,"0.12074712947775014551"
"CH*REPE112*01*2","PLUG’N ROLL","010100002008080000FA4DDE769EFF444196E3DF811DC13141","1163549.50732253","2752316.9286592","22.08",9,6,"0.12074712947775014551"
"CH*CCI*E20289","Move","010100002008080000703A7159843A4541A211507D17833141","1147671.489503","2782472.69876795","22",5,7,"0.01745653393157599551"
"CH*CCI*E20289","Move","010100002008080000703A7159843A4541A211507D17833141","1147671.489503","2782472.69876795","22",5,12,"0.01745653393157599551"
"CH*CCI*E20289","Move","010100002008080000703A7159843A4541A211507D17833141","1147671.489503","2782472.69876795","22",5,9,"0.01745653393157599551"
"CH*SWIEE9340","Swisscharge","01010000200808000070985C83C4CF4341F081AA0DF1B73241","1226737.05338299","2596745.02626329","22",4,34,"0.00407428964495475951"
"CH*SWIEE9340","Swisscharge","01010000200808000070985C83C4CF4341F081AA0DF1B73241","1226737.05338299","2596745.02626329","22",4,34,"0.00407428964495475951"
"CH*SWIEE9340","Swisscharge","01010000200808000070985C83C4CF4341F081AA0DF1B73241","1226737.05338299","2596745.02626329","22",4,33,"0.00407428964495475951"
"CH*SWIEE29490","Swisscharge","0101000020080800008A1E31A24B9C4441FA5025A762073341","1247074.65291315","2701463.267124","22",4,118,"0.03809591373439273553"
"CH*SWIEE29490","Swisscharge","0101000020080800008A1E31A24B9C4441FA5025A762073341","1247074.65291315","2701463.267124","22",4,124,"0.03809591373439273553"
"CH*SWIEE29490","Swisscharge","0101000020080800008A1E31A24B9C4441FA5025A762073341","1247074.65291315","2701463.267124","22",4,123,"0.03809591373439273553"
"CH*E4U*E00027","Ost-mobil","010100002008080000ADA57D225AE9444103CA92FC56213241","1188182.98661482","2740916.26945945","22",9,3,"0.00000000000000000000"
"CH*E4U*E00027","Ost-mobil","010100002008080000ADA57D225AE9444103CA92FC56213241","1188182.98661482","2740916.26945945","22",9,3,"0.00000000000000000000"
"CH*E4U*E00027","Ost-mobil","010100002008080000ADA57D225AE9444103CA92FC56213241","1188182.98661482","2740916.26945945","22",9,8,"0.00000000000000000000"
"CH*CCI*E20052","Move","010100002008080000A9BF9A98F2A74341311D70F968803141","1146984.97436697","2576357.19222255","22",6,22,"0.02364193219063994412"
"CH*CCI*E20052","Move","010100002008080000A9BF9A98F2A74341311D70F968803141","1146984.97436697","2576357.19222255","22",6,22,"0.02364193219063994412"
