,OperatorID,OperatorName,IsOpen24Hours,ChargingStationId,lastUpdate,HotlinePhoneNum,ClearinghouseID,OpeningTimes,ChargingStationName,EnChargingStationName,HubOperatorID,Plugs,Accessibility,EvseID,DynamicInfoAvailable,ChargingFacilities,IsHubjectCompatible,ChargingModes,MaxCapacity,PaymentOptions,AdditionalInfo,ChargingPoolID,deltaType,ValueAddedServices,AuthenticationModes,Address.City,Address.Country,Address.HouseNum,Address.PostalCode,Address.Street,Address.Floor,Address.Region,Address.Timezone,GeoCoordinates.Google,GeoChargingPointEntrance.Google
983,CHEVP,evpass,False,1815,,488848044,,,evpass - M1 - Parkhaus Opéra,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2495,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zürich,CHE,5,8022,Schillerstrasse,,,UTC+02:00,47.365335 8.547002,None None
984,CHEVP,evpass,False,1815,,488848044,,,evpass - M1 - Parkhaus Opéra,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2493,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zürich,CHE,5,8022,Schillerstrasse,,,UTC+02:00,47.365335 8.547002,None None
985,CHEVP,evpass,False,1815,,488848044,,,evpass - M1 - Parkhaus Opéra,,,"['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",Free publicly accessible,CHEVPE35886,true,"[{'power': 22.0, 'powertype': 'DC'}, {'power': 22.0, 'powertype': 'DC'}]",False,"['CHAdeMO', 'Mode_4']",,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zürich,CHE,5,8022,Schillerstrasse,,,UTC+02:00,47.365335 8.547002,None None
986,CHEVP,evpass,False,1815,,488848044,,,evpass - M1 - Parkhaus Opéra,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2492,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zürich,CHE,5,8022,Schillerstrasse,,,UTC+02:00,47.365335 8.547002,None None
987,CHEVP,evpass,False,1815,,488848044,,,evpass - M1 - Parkhaus Opéra,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2491,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zürich,CHE,5,8022,Schillerstrasse,,,UTC+02:00,47.365335 8.547002,None None
988,CHEVP,evpass,False,1815,,488848044,,,evpass - M1 - Parkhaus Opéra,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2490,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']",,,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Zürich,CHE,5,8022,Schillerstrasse,,,UTC+02:00,47.365335 8.547002,None None
989,CHEVP,evpass,False,1817,,488848044,,,evpass - M1 - Bad Schinznach,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2372,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 32, 'power': 7.0, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']","[{'lang': 'fr-FR', 'value': 'Ladestationen im 4 UG'}]",,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Schinznach-Bad,CHE,50,5116,Badstrasse,-4,,UTC+02:00,47.459245 8.166592,None None
990,CHEVP,evpass,False,1817,,488848044,,,evpass - M1 - Bad Schinznach,,,"['Type 2 Connector (Cable Attached)', 'Type 1 Connector (Cable Attached)']",Free publicly accessible,CHEVPE2382,true,"[{'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 32, 'power': 7.0, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,['Mode_3'],,"['Contract', 'Direct']","[{'lang': 'fr-FR', 'value': 'Ladestationen im 4 UG'}]",,,"['MaximumPowerCharging', 'Reservation']","['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire', 'Direct Payment']",Schinznach-Bad,CHE,50,5116,Badstrasse,-4,,UTC+02:00,47.459245 8.166592,None None
991,CHEVP,evpass,False,1859,,488848044,,,Gymnase Cantonal de Nyon - Parking Visiteur N°32,,,['Type 2 Connector (Cable Attached)'],Free publicly accessible,CHEVPE1502,true,"[{'amperage': 16, 'power': 11.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}]",False,['Mode_3'],,['Contract'],"[{'lang': 'fr-FR', 'value': 'Bâtiment « Le Tandem » Parking Visiteur N°32 Disponible du lundi au vendredi de 18h00 à 6h00 ainsi que le week-end.'}]",,,['MaximumPowerCharging'],"['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire']",Nyon,CHE,55,1260,Route de Clémenty,,,UTC+02:00,46.381266 6.230387,None None
992,CHEVP,evpass,False,1866,,488848044,,,SES - N2 - 01 - PIAZZA MUNICIPIO,,,"['Type 1 Connector (Cable Attached)', 'Type 2 Connector (Cable Attached)', 'Type J Swiss Standard']",Free publicly accessible,CHEVPE1442,true,"[{'amperage': 32, 'power': 7.0, 'powertype': 'AC_1_PHASE', 'voltage': 230}, {'amperage': 32, 'power': 22.0, 'powertype': 'AC_3_PHASE', 'voltage': 400}, {'amperage': 16, 'power': 3.7, 'powertype': 'AC_1_PHASE', 'voltage': 230}]",False,"['Mode_3', 'Mode_1']",,['Contract'],"[{'lang': 'it-IT', 'value': 'Tariffa di stazionamento (07:00 - 22:00):  - durante la ricarica: 0.5 CHF/h - a partire dalla fine della ricarica: 2 CHF/h'}]",,,['MaximumPowerCharging'],"['REMOTE', 'NFC RFID Classic', 'NFC RFID DESFire']",Brissago,CHE,,6614,Piazza Municipio,,,UTC+02:00,46.11998 8.71156,None None
